AFFILIATED_ID,Author_ID,University_ID
527657,22156,0
571608,36107,0
571333,35832,0
571140,35639,0
571080,35579,0
571005,35504,0
570977,35476,0
570938,35437,0
570935,35434,0
570927,35426,0
570850,35349,0
570818,35317,0
570736,35235,0
570442,34941,0
570439,34938,0
570373,34872,0
570287,34786,0
569959,34458,0
569957,34456,0
569918,34417,0
569863,34362,0
569842,34341,0
569788,34287,0
569721,34220,0
569320,33819,0
569129,33628,0
569012,33511,0
568944,33443,0
568841,33340,0
568533,33032,0
568437,32936,0
568426,32925,0
568378,32877,0
568296,32795,0
568027,32526,0
568021,32520,0
568002,32501,0
567903,32402,0
567795,32294,0
567779,32278,0
567724,32223,0
567698,32197,0
567629,32128,0
567590,32089,0
567500,31999,0
567483,31982,0
567313,31812,0
567212,31711,0
567186,31685,0
567172,31671,0
567132,31631,0
567095,31594,0
566954,31453,0
566883,31382,0
566748,31247,0
566743,31242,0
566636,31135,0
566561,31060,0
566468,30967,0
566374,30873,0
566284,30783,0
566164,30663,0
566110,30609,0
566074,30573,0
566065,30564,0
565931,30430,0
565912,30411,0
565892,30391,0
565774,30273,0
565732,30231,0
565635,30134,0
565422,29921,0
565404,29903,0
565338,29837,0
565300,29799,0
564892,29391,0
564869,29368,0
564815,29314,0
564657,29156,0
564583,29082,0
564485,28984,0
564480,28979,0
564234,28733,0
564107,28606,0
564062,28561,0
563878,28377,0
563598,28097,0
563176,27675,0
562980,27479,0
562969,27468,0
562751,27250,0
562727,27226,0
562679,27178,0
562593,27092,0
562566,27065,0
562317,26816,0
562295,26794,0
562102,26601,0
561964,26463,0
561920,26419,0
561885,26384,0
561726,26225,0
561290,25789,0
561283,25782,0
561054,25553,0
561052,25551,0
560975,25474,0
560885,25384,0
560814,25313,0
560656,25155,0
560536,25035,0
560441,24940,0
560336,24835,0
560206,24705,0
560147,24646,0
560068,24567,0
560051,24550,0
559911,24410,0
559264,23763,0
559149,23648,0
559132,23631,0
559031,23530,0
558947,23446,0
558716,23215,0
558680,23179,0
558529,23028,0
558528,23027,0
558469,22968,0
558382,22881,0
558166,22665,0
558081,22580,0
558010,22509,0
557992,22491,0
557843,22342,0
522089,16588,0
522208,16707,0
522274,16773,0
522346,16845,0
522510,17009,0
522646,17145,0
522670,17169,0
522723,17222,0
522738,17237,0
522894,17393,0
523209,17708,0
523309,17808,0
523441,17940,0
523547,18046,0
523752,18251,0
523763,18262,0
523820,18319,0
523939,18438,0
523986,18485,0
524037,18536,0
524517,19016,0
524542,19041,0
524618,19117,0
524621,19120,0
524631,19130,0
524657,19156,0
524711,19210,0
524822,19321,0
524986,19485,0
525056,19555,0
525177,19676,0
525476,19975,0
525506,20005,0
525669,20168,0
525677,20176,0
525905,20404,0
525933,20432,0
525975,20474,0
526247,20746,0
526521,21020,0
526803,21302,0
526837,21336,0
526909,21408,0
527175,21674,0
527213,21712,0
527225,21724,0
527405,21904,0
527477,21976,0
527596,22095,0
527604,22103,0
558110,22609,6
571789,36288,6
571765,36264,6
571567,36066,6
571385,35884,6
571352,35851,6
571337,35836,6
571142,35641,6
571138,35637,6
571116,35615,6
570572,35071,6
570557,35056,6
570498,34997,6
570395,34894,6
570337,34836,6
570283,34782,6
570278,34777,6
569923,34422,6
569868,34367,6
569837,34336,6
569822,34321,6
569812,34311,6
569735,34234,6
569631,34130,6
569630,34129,6
569511,34010,6
569321,33820,6
569105,33604,6
569084,33583,6
569042,33541,6
568842,33341,6
568676,33175,6
568462,32961,6
568386,32885,6
568293,32792,6
568206,32705,6
568193,32692,6
568157,32656,6
567897,32396,6
567866,32365,6
567432,31931,6
567059,31558,6
566992,31491,6
566843,31342,6
566774,31273,6
566617,31116,6
566544,31043,6
566479,30978,6
566359,30858,6
566146,30645,6
566123,30622,6
566019,30518,6
566013,30512,6
565961,30460,6
565808,30307,6
565578,30077,6
565526,30025,6
565454,29953,6
565199,29698,6
565085,29584,6
564934,29433,6
564925,29424,6
564905,29404,6
564772,29271,6
564641,29140,6
564506,29005,6
564474,28973,6
564388,28887,6
564331,28830,6
564092,28591,6
563819,28318,6
563806,28305,6
563760,28259,6
563685,28184,6
563565,28064,6
563499,27998,6
563301,27800,6
563226,27725,6
563082,27581,6
563010,27509,6
562899,27398,6
562623,27122,6
562612,27111,6
562387,26886,6
562370,26869,6
562347,26846,6
562341,26840,6
562197,26696,6
562188,26687,6
562081,26580,6
561983,26482,6
561778,26277,6
561734,26233,6
561462,25961,6
561384,25883,6
561281,25780,6
561207,25706,6
561144,25643,6
561101,25600,6
561031,25530,6
560953,25452,6
560906,25405,6
560902,25401,6
560808,25307,6
560768,25267,6
560669,25168,6
560381,24880,6
560250,24749,6
560163,24662,6
560128,24627,6
560071,24570,6
559999,24498,6
559946,24445,6
559888,24387,6
559854,24353,6
559804,24303,6
559716,24215,6
559559,24058,6
559537,24036,6
559442,23941,6
559351,23850,6
559333,23832,6
559211,23710,6
559123,23622,6
559039,23538,6
558986,23485,6
558745,23244,6
558555,23054,6
558516,23015,6
558422,22921,6
558415,22914,6
558272,22771,6
522095,16594,6
522221,16720,6
522342,16841,6
522357,16856,6
522374,16873,6
522656,17155,6
522708,17207,6
522774,17273,6
522791,17290,6
522792,17291,6
523049,17548,6
523398,17897,6
523417,17916,6
523473,17972,6
523503,18002,6
523822,18321,6
523930,18429,6
524027,18526,6
524034,18533,6
524115,18614,6
524170,18669,6
524282,18781,6
524425,18924,6
524534,19033,6
524675,19174,6
524886,19385,6
524960,19459,6
525046,19545,6
525176,19675,6
525221,19720,6
525263,19762,6
525514,20013,6
525635,20134,6
525776,20275,6
525896,20395,6
526170,20669,6
526397,20896,6
526424,20923,6
526945,21444,6
527007,21506,6
527009,21508,6
527452,21951,6
527490,21989,6
527621,22120,6
527674,22173,6
527802,22301,6
557832,22331,6
557840,22339,6
557942,22441,6
558063,22562,6
527463,21962,7
571775,36274,7
571594,36093,7
571250,35749,7
571232,35731,7
571188,35687,7
571088,35587,7
570969,35468,7
570833,35332,7
570520,35019,7
570438,34937,7
570435,34934,7
570340,34839,7
570303,34802,7
570294,34793,7
570231,34730,7
570086,34585,7
569833,34332,7
569773,34272,7
569767,34266,7
569641,34140,7
569540,34039,7
569500,33999,7
569453,33952,7
569341,33840,7
568925,33424,7
568822,33321,7
568761,33260,7
568724,33223,7
568713,33212,7
568638,33137,7
568290,32789,7
568217,32716,7
568058,32557,7
567817,32316,7
567773,32272,7
567763,32262,7
567745,32244,7
567736,32235,7
567692,32191,7
567658,32157,7
567403,31902,7
567362,31861,7
567284,31783,7
567033,31532,7
567032,31531,7
566937,31436,7
566790,31289,7
566710,31209,7
566694,31193,7
566582,31081,7
566574,31073,7
566556,31055,7
566429,30928,7
566378,30877,7
566353,30852,7
566207,30706,7
565998,30497,7
565959,30458,7
565951,30450,7
565846,30345,7
565826,30325,7
565565,30064,7
565558,30057,7
565129,29628,7
565088,29587,7
564956,29455,7
564796,29295,7
564759,29258,7
564429,28928,7
564408,28907,7
564204,28703,7
564153,28652,7
564096,28595,7
563985,28484,7
563852,28351,7
563813,28312,7
563715,28214,7
563617,28116,7
563607,28106,7
563580,28079,7
563570,28069,7
563541,28040,7
563460,27959,7
563336,27835,7
563328,27827,7
563231,27730,7
563164,27663,7
563107,27606,7
563073,27572,7
562897,27396,7
562892,27391,7
562853,27352,7
562700,27199,7
562694,27193,7
562592,27091,7
562470,26969,7
562407,26906,7
562400,26899,7
562318,26817,7
562241,26740,7
562235,26734,7
562117,26616,7
562055,26554,7
561785,26284,7
561772,26271,7
561716,26215,7
561430,25929,7
561345,25844,7
561162,25661,7
561136,25635,7
561060,25559,7
561009,25508,7
560976,25475,7
560825,25324,7
560661,25160,7
560657,25156,7
560567,25066,7
560523,25022,7
560500,24999,7
560446,24945,7
560384,24883,7
560277,24776,7
560264,24763,7
560049,24548,7
559782,24281,7
559771,24270,7
559702,24201,7
559596,24095,7
559304,23803,7
559182,23681,7
558926,23425,7
558673,23172,7
558645,23144,7
558569,23068,7
558565,23064,7
558539,23038,7
558493,22992,7
558464,22963,7
558370,22869,7
558315,22814,7
558273,22772,7
558128,22627,7
558106,22605,7
557991,22490,7
557905,22404,7
527727,22226,7
527517,22016,7
522097,16596,7
522117,16616,7
522426,16925,7
522468,16967,7
522507,17006,7
522531,17030,7
522535,17034,7
522659,17158,7
522964,17463,7
523037,17536,7
523044,17543,7
523066,17565,7
523154,17653,7
523190,17689,7
523551,18050,7
523570,18069,7
523824,18323,7
523979,18478,7
523997,18496,7
524207,18706,7
524264,18763,7
524384,18883,7
524573,19072,7
524730,19229,7
524777,19276,7
524812,19311,7
524846,19345,7
524927,19426,7
525081,19580,7
525113,19612,7
525146,19645,7
525320,19819,7
525471,19970,7
525700,20199,7
525743,20242,7
525801,20300,7
525941,20440,7
526452,20951,7
526462,20961,7
526576,21075,7
526724,21223,7
526879,21378,7
526928,21427,7
527116,21615,7
527128,21627,7
527161,21660,7
527168,21667,7
527315,21814,7
527417,21916,7
527443,21942,7
526875,21374,9
571864,36363,9
571861,36360,9
571835,36334,9
571771,36270,9
571626,36125,9
571622,36121,9
571550,36049,9
571529,36028,9
571490,35989,9
571463,35962,9
571394,35893,9
571074,35573,9
571051,35550,9
570807,35306,9
570714,35213,9
570590,35089,9
570480,34979,9
570382,34881,9
570380,34879,9
570324,34823,9
570270,34769,9
570210,34709,9
570084,34583,9
570054,34553,9
569897,34396,9
569746,34245,9
569533,34032,9
569519,34018,9
569428,33927,9
569350,33849,9
569285,33784,9
569284,33783,9
569251,33750,9
569244,33743,9
569163,33662,9
569001,33500,9
568604,33103,9
568557,33056,9
568555,33054,9
568459,32958,9
568418,32917,9
568346,32845,9
568323,32822,9
568318,32817,9
568266,32765,9
568256,32755,9
568201,32700,9
568195,32694,9
568172,32671,9
568063,32562,9
568032,32531,9
567913,32412,9
567910,32409,9
567891,32390,9
567864,32363,9
567738,32237,9
567737,32236,9
567669,32168,9
567618,32117,9
567553,32052,9
567528,32027,9
567490,31989,9
567440,31939,9
567310,31809,9
567280,31779,9
567275,31774,9
566978,31477,9
566877,31376,9
566837,31336,9
566814,31313,9
566765,31264,9
566753,31252,9
566652,31151,9
566516,31015,9
566414,30913,9
566395,30894,9
566257,30756,9
566252,30751,9
566180,30679,9
566045,30544,9
565968,30467,9
565888,30387,9
565849,30348,9
565664,30163,9
565589,30088,9
565534,30033,9
565513,30012,9
565480,29979,9
565443,29942,9
565194,29693,9
565174,29673,9
565114,29613,9
565043,29542,9
564828,29327,9
564748,29247,9
564712,29211,9
564690,29189,9
564169,28668,9
564108,28607,9
564050,28549,9
563821,28320,9
563797,28296,9
563723,28222,9
563702,28201,9
563620,28119,9
563594,28093,9
563534,28033,9
563506,28005,9
563370,27869,9
563144,27643,9
563118,27617,9
563013,27512,9
562988,27487,9
562893,27392,9
562864,27363,9
562807,27306,9
562709,27208,9
562643,27142,9
562640,27139,9
562574,27073,9
562559,27058,9
562486,26985,9
562356,26855,9
562272,26771,9
562265,26764,9
562259,26758,9
562253,26752,9
562220,26719,9
562155,26654,9
562129,26628,9
561763,26262,9
561553,26052,9
561346,25845,9
561261,25760,9
561173,25672,9
560874,25373,9
560851,25350,9
560798,25297,9
560789,25288,9
560784,25283,9
560749,25248,9
560696,25195,9
560687,25186,9
560624,25123,9
560543,25042,9
560541,25040,9
560459,24958,9
560368,24867,9
560236,24735,9
560126,24625,9
560101,24600,9
560069,24568,9
560007,24506,9
